Sentence #,Word,POS,Tag
Sentence,di ,ADP,O
Sentence,Jakarta ,PROPN ,B-LOC
Sentence,Jumat ,PROPN,O
Sentence,Menurut ,ADP,O
Sentence,anggota ,NOUN,O
Sentence,Komisi ,PROPN,O
Sentence,I ,NUM ,O
Sentence,itu ,DET ,O
Sentence,Ketua ,NOUN,O
Sentence,Umum ,ADJ,O
Sentence,PDI ,PROPN ,B-ORG
Sentence,Perjuangan ,PROPN ,I-ORG
Sentence,Megawati ,PROPN ,B-PER
Sentence,Soekarnoputri ,PROPN ,I-PER
Sentence,sebelumnya ,ADV ,O
Sentence,telah ,ADV ,O
Sentence,memerintahkan ,VERB ,O
Sentence,kepada ,ADP,O
Sentence,semua ,DET ,O
Sentence,kader ,NOUN,O
Sentence,agar ,SCONJ ,O
Sentence,mendukung ,VERB,O
Sentence,kebijakan ,NOUN,O
Sentence,Jokowi ,PROPN ,B-PER
Sentence,Dikatakan ,VERB,O
Sentence,jika ,SCONJ ,O
Sentence,seluruh ,DET ,O
Sentence,aktivitas ,NOUN ,O
Sentence,itu ,DET ,O
Sentence,dilakukan ,VERB,O
Sentence,bersama ,ADP,O
Sentence,Wapres ,PROPN,O
Sentence,Boediono ,PROPN ,B-PER
Sentence,di ,ADP,O
Sentence,Istana ,PROPN ,B-LOC
Sentence,Negara ,PROPN ,I-LOC
Sentence,Pemerintah ,PROPN,O
Sentence,Indonesia ,PROPN ,B-LOC
Sentence,terus ,ADV ,O
Sentence,berupaya ,VERB ,O
Sentence,mempromosikan ,VERB ,O
Sentence,potensi ,NOUN,O
Sentence,wisata ,NOUN,O
Sentence,bahari ,ADJ,O
Sentence,Raja ,PROPN ,B-LOC
Sentence,Ampat  ,PROPN ,I-LOC
Sentence,sebagai ,ADP,O
Sentence,kawasan ,NOUN ,O
Sentence,konservasi ,NOUN,O
Sentence,perairan ,NOUN,O
Sentence,dalam ,ADP,O
Sentence,rangka ,NOUN,O
Sentence,mengembangkan ,VERB ,O
Sentence,ekonomi ,NOUN,O
Sentence,kelautan ,NOUN,O
Sentence,kata ,NOUN,O
Sentence,Menteri ,PROPN,O
Sentence,Kelautan ,PROPN,O
Sentence,dan ,CCONJ,O
Sentence,Perikanan ,NOUN,O
Sentence,dalam ,ADP,O
Sentence,keterangan ,NOUN,O
Sentence,tertulis ,ADJ,O
Sentence,yang ,PRON ,O
Sentence,diterima ,VERB,O
Sentence,di ,ADP,O
Sentence,Raja ,PROPN ,B-LOC
Sentence,Ampat ,PROPN ,I-LOC
Sentence,Papua ,PROPN ,B-LOC
Sentence,Barat ,PROPN,I-LOC
Sentence,Minggu,PROPN,O
Sentence,Untuk ,ADP,O
Sentence,itu ,DET ,O
Sentence,dalam ,ADP,O
Sentence,SPM ,NOUN,O
Sentence,ini ,DET,O
Sentence,masyarakat ,NOUN,O
Sentence,yang ,PRON ,O
Sentence,sama ,ADJ,O
Sentence,sekali ,ADJ,O
Sentence,awam ,ADJ,O
Sentence,tentang ,ADP ,O
Sentence,pasar ,NOUN ,O
Sentence,modal ,ADJ,O
Sentence,dapat ,ADV,O
Sentence,mengenal ,VERB,O
Sentence,lebih ,ADV,O
Sentence,jauh ,ADJ,O
Sentence,tentang ,ADP,O
Sentence,saham ,NOUN ,O
Sentence,obligasi ,NOUN,O
Sentence,dan ,CCONJ ,O
Sentence,reksadana ,NOUN,O
Sentence,Oleh ,ADP ,O
Sentence,karena  ,CCONJ,O
Sentence,ini ,DET,O
Sentence,memang ,ADV,O
Sentence,kita ,PRON ,O
Sentence,tidak ,PART ,O
Sentence,perlu ,ADV,O
Sentence,mencemaskan ,VERB,O
Sentence,penyebaran ,NOUN,O
Sentence,virus ,NOUN,O
Sentence,ebola ,NOUN,O
Sentence,ini ,DET,O
Sentence,di ,ADP,O
Sentence,Indonesia ,PROPN, B-LOC
Sentence,Ruhut ,PROPN ,B-PER
Sentence,mengatakan ,VERB ,O
Sentence,tak ,PART ,O
Sentence,ada ,VERB,O
Sentence,ambisi ,NOUN,O
Sentence,politik ,NOUN,O
Sentence,tertentu ,DET,O
Sentence,terkait ,VERB,O
Sentence,dengan ,ADP,O
Sentence,dukungannya  ,NOUN,O
Sentence,kepada ,ADP,O
Sentence,calon ,NOUN ,O
Sentence,presiden ,NOUN ,O
Sentence,yang  ,PRON,O
Sentence,sebelumnya  ,ADV,O
Sentence,sering ,ADV,O
Sentence,dikritiknya  ,NOUN,O
Sentence,itu ,DET,O
Sentence,Jurubicara  ,PROPN,O
Sentence,MDC ,PROPN ,B-ORG
Sentence,sebelumnya  ,ADV,O
Sentence,mengatakan  ,VERB,O
Sentence,polisi ,NOUN,O
Sentence,telah ,ADV,O
Sentence,menggunakan  ,VERB,O
Sentence,semprotan  ,NOUN,O
Sentence,air ,NOUN,O
Sentence,dan ,CCONJ,O
Sentence,gas ,NOUN ,O
Sentence,air ,NOUN ,O
Sentence,mata ,NOUN ,O
Sentence,serta ,CCONJ ,O
Sentence,memukuli  ,VERB,O
Sentence,pendukung  ,NOUN,O
Sentence,partai ,NOUN ,O
Sentence,yang ,PRON,O
Sentence,ingin ,ADV ,O
Sentence,menghadiri ,VERB,O
Sentence,pawai ,NOUN,O
Sentence,tersebut ,DET,O
Sentence,yang ,PRON,O
Sentence,sebelumnya ,ADV,O
Sentence,dijadwalkan ,VERB,O
Sentence,dihadiri ,VERB,O
Sentence,oleh ,ADP,O
Sentence,pemimpin ,NOUN,O
Sentence,MDC ,PROPN ,B-ORG
Sentence,Morgan ,PROPN ,B-PER
Sentence,Tsangirai ,PROPN ,I-PER
Sentence,Menurut ,ADP ,O
Sentence,dia ,PRON,O
Sentence,sejak ,ADP,O
Sentence,Raja ,PROPN ,B-LOC
Sentence,Ampat ,PROPN ,I-LOC
Sentence,ditetapkan ,VERB,O
Sentence,sebagai ,ADP,O
Sentence,Kawasan ,PROPN,O
Sentence,Konservasi ,PROPN ,O
Sentence,Perairan ,PROPN,O
Sentence,Nasional ,PROPN,O
Sentence,(KKPN) ,PROPN,O
Sentence,masyarakat ,NOUN,O
Sentence,telah ,ADV,O
Sentence,banyak ,ADV,O
Sentence,merasakan ,VERB ,O
Sentence,manfaatnya ,NOUN,O
Sentence,Begitu ,SCONJ ,O
Sentence,kampanye ,NOUN,O
Sentence,Rini ,PROPN ,B-PER
Sentence,nempel ,PROPN ,O
Sentence,banget ,VERB ,O
Sentence,dengan ,ADP,O
Sentence,Megawati NOUN B-PER,,
Sentence,eh NOUN ,NOUN ,O
Sentence,ternyata ,ADV ,O
Sentence,pecah ,VERB,O
Sentence,kongsi ,NOUN ,O
Sentence,pengkhianat ,NOUN ,O
Sentence,Sama ,ADJ,O
Sentence,dengan ,ADP,O
Sentence,yang ,PRON,O
Sentence,namanya ,NOUN ,O
Sentence,di ,ADP,O
Sentence,pojok ,NOUN ,O
Sentence,ini ,DET,O
Sentence,Andi ,PROPN ,B-PER
Sentence,enggak ,ADV ,O
Sentence,tahu ,VERB,O
Sentence,diri ,NOUN ,O
Sentence,pengkhianat ,NOUN ,O
Sentence,anak ,NOUN ,O
Sentence,baru ,ADJ,O
Sentence,kemarin ,NOUN ,O
Sentence,kok ,PART,O
Sentence,bisa ,ADV ,O
Sentence,atur-atur ,VERB,O
Sentence,republik ,NOUN ,O
Sentence,ini? ,PUNCT,O
Sentence,sambung,NOUN ,O
Sentence,dia ,PRON ,O
Sentence,Dia ,PRON,O
Sentence,mencontohkan ,VERB,O
Sentence,ketua ,NOUN ,O
Sentence,umum ,ADJ,O
Sentence,partai ,NOUN ,O
Sentence,politik,NOUN ,O
Sentence,lain ,ADJ,O
Sentence,yang,PRON,O
Sentence,kerap ,ADV ,O
Sentence,diserang ,VERB,O
Sentence,oleh ,ADP,O
Sentence,media ,NOUN ,O
Sentence,massa ,NOUN ,O
Sentence,Satu ,DET ,O
Sentence,tahun ,NOUN ,O
Sentence,masa ,NOUN ,O
Sentence,jabatan ,NOUN ,O
Sentence,persoalan ,NOUN ,O
Sentence,ibukota ,NOUN ,O
Sentence,seperti ,ADP,O
Sentence,kemacetan ,NOUN ,O
Sentence,banjir NOUN O,NOUN ,O
Sentence,dan ,CCONJ ,O
Sentence,lain ,ADJ,O
Sentence,sebagainya ,NOUN ,O
Sentence,tidak ,PART,O
Sentence,ada ,VERB ,O
Sentence,satu ,DET,O
Sentence,pun ,PART,O
Sentence,yang ,PRON,O
Sentence,dituntaskan ,VERB ,O
Sentence,Menurut ,ADP ,O
Sentence,dia ,PRON,O
Sentence,meskipun ,SCONJ,O
Sentence,Mahkamah ,PROPN ,B-ORG
Sentence,Konstitusi ,PROPN ,I-ORG
Sentence,telah ,ADV ,O
Sentence,memutuskan ,VERB ,O
Sentence,kartu ,NOUN ,O
Sentence,tanda ,NOUN ,O
Sentence,penduduk,NOUN ,O
Sentence,(KTP) ,PROPN ,O
Sentence,atau ,CCONJ ,O
Sentence,paspor ,NOUN ,O
Sentence,bisa ,ADV ,O
Sentence,digunakan ,VERB ,O
Sentence,sebagai ,ADP,O
Sentence,bukti ,NOUN ,O
Sentence,pemilih ,NOUN ,O
Sentence,hal ,NOUN,O
Sentence,itu ,DET,O
Sentence,tidak ,PART ,O
Sentence,akan ,ADV ,O
Sentence,berpengaruh ,VERB ,O
Sentence,besar ,ADJ,O
Sentence,terhadap ,ADP,O
Sentence,kualitas  ,NOUN,O
Sentence,pilpres ,NOUN,O
Sentence,kali ,NOUN,O
Sentence,ini ,DET,O
Sentence,. PUNCT O,,O
Sentence,,,
Sentence,Tenaga ,NOUN,O
Sentence,kesehatan ,NOUN,O
Sentence,asing ,ADJ,O
Sentence,yang ,PRON,O
Sentence,akan ,ADV,O
Sentence,bekerja ,VERB,O
Sentence,di ,ADP,O
Sentence,Indonesia ,PROPN,B-LOC
Sentence,harus ,ADV,O
Sentence,mengantongi ,VERB,O
Sentence,Surat,PROPN,O
Sentence,Tanda ,PROPN,O
Sentence,Registrasi ,PROPN,O
Sentence,(STR) ,PROPN,O
Sentence,yang ,PRON,O
Sentence,dikeluarkan ,VERB,O
Sentence,oleh ,ADP,O
Sentence,Konsil ,PROPN, B-ORG
Sentence,Kedokteran ,PROPN ,I-ORG
Sentence,untuk ,ADP,O
Sentence,dokter ,NOUN,O
Sentence,atau ,CCONJ ,O
Sentence,perawat ,NOUN,O
Sentence,yang ,PRON ,O
Sentence,dikeluarkan  ,VERB,O
Sentence,oleh ,ADP,O
Sentence,Majelis  ,PROPN,B-ORG
Sentence,Tenaga ,PROPN,I-ORG
Sentence,Kesehatan ,PROPN,I-ORG
Sentence,Indonesia ,PROPN ,I-ORG
Sentence,. PUNCT O,,
Sentence,,,
Sentence,Namun  ,SCONJ,O
Sentence,hingga, ADP ,O
Sentence,kemarin ,NOUN,O
Sentence,", PUNCT O",,
Sentence,pendaftaran ,NOUN,O
Sentence,capim  ,NOUN,O
Sentence,KPK ,PROPN ,B-ORG
Sentence,masih ,ADV ,O
Sentence,sepi ,VERB ,O
Sentence,peminat ,NOUN,O
Sentence,. PUNCT O,,
Sentence,,,
Sentence,Tambahan NOUN O,NOUN,O
Sentence,anggaran ,NOUN ,O
Sentence,satu  ,DET,O
Sentence,persen ,NOUN,O
Sentence,dari, ADP ,O
Sentence,PDB  ,PROPN,O
Sentence,hanya ,ADV ,O
Sentence,mendorong ,VERB,O
Sentence,pertumbuhan ,NOUN,O
Sentence,nasional ,ADJ,O
Sentence,sebesar ,ADP ,O
Sentence,"0,17",NUM ,O
Sentence,persen ,NUM ,O
Sentence,", PUNCT O",,
Sentence,sedangkan ,SCONJ ,O
Sentence,India ,PROPN ,B-LOC
Sentence,menembus  ,VERB,O
Sentence,angka  ,NOUN ,O
Sentence,"0,28",NUM ,O
Sentence,persen ,NOUN ,O
Sentence,dan ,CCONJ ,O
Sentence,Tiongkok ,PROPN ,B-LOC
Sentence,"0,33",NUM,O
Sentence,persen ,NUM,O
Sentence,. PUNCT O,,O
Sentence,,,
Sentence,Kemarin ,PROPN,O
Sentence,", PUNCT O",,
Sentence,Presiden ,PROPN,O
Sentence,dan  ,CCONJ,O
Sentence,Wapres  ,PROPN,O
Sentence,terus ,ADV ,O
Sentence,bekerja ,VERB,O
Sentence,maraton  ,NOUN,O
Sentence,hingga ,ADP ,O
Sentence,tengah ,NOUN,O
Sentence,malam,NOUN,O
Sentence,di ,ADP ,O
Sentence,Istana  ,PROPN,B-LOC
Sentence,Jogja ,PROPN,I-LOC
Sentence,. PUNCT O,,O
Sentence,Siang ,PROPN ,O
Sentence,ini ,DET ,O
Sentence,Presiden,PROPN,O
Sentence,akan ,ADV ,O
Sentence,langsung ,ADV ,O
Sentence,bekerja ,VERB,O
Sentence,untuk ,ADP ,O
Sentence,melanjutkan  ,VERB,O
Sentence,apa ,PRON,O
Sentence,yang ,PRON,O
Sentence,ia ,PRON ,O
Sentence,belum ,ADV ,O
Sentence,selesaikan  ,VERB,O
Sentence,", PUNCT O",,O
Sentence,ujarnya ,NOUN ,O
Sentence,. PUNCT O,,O
Sentence,,,
Sentence,Pasalnya ,ADV ,O
Sentence,", PUNCT O",,O
Sentence,menurut ,ADP ,O
Sentence,Susno ,PROPN ,B-PER
Sentence,", PUNCT O",,
Sentence,kasus ,NOUN ,O
Sentence,senilai ,ADP ,O
Sentence,Rp ,PROPN ,O
Sentence,28,NUM ,O
Sentence,miliar ,NOUN ,O
Sentence,itu ,DET ,O
Sentence,dia ,PRON,O
Sentence,yang  ,PRON ,O
Sentence,mengungkapkan , VERB,O
Sentence,Meski ,SCONJ ,O
Sentence,demikian ,ADV ,O
Sentence,Ruhut ,PROPN ,B-PER
Sentence,mengatakan O,VERB,O
Sentence,tak ,PART ,O
Sentence,ada ,VERB ,O
Sentence,masalah ,NOUN,O
Sentence,hubungan ,NOUN,O
Sentence,dirinya ,PRON ,O
Sentence,dengan  ,ADP ,O
Sentence,Jokowi ,PROPN ,B-PER
Sentence,Kecilnya ,NOUN,O
Sentence,realisasi ,NOUN,O
Sentence,produksi ,NOUN ,O
Sentence,karena  ,SCONJ ,O
Sentence,briket NOUN O,NOUN,O
Sentence,tidak ,PART ,O
Sentence,kompetitif  ,ADJ,O
Sentence,bila ,SCONJ ,O
Sentence,dibandingkan ,VERB,O
Sentence,dengan ,ADP ,O
Sentence,minyak ,NOUN,O
Sentence,tanah ,NOUN,O
Sentence,yang ,PRON ,O
Sentence,masih ,ADV ,O
Sentence,disubsidi  ,PRON ,O
Sentence,", PUNCT O",,
Sentence,katanya ,NOUN ,O
Sentence,. PUNCT O,,
Sentence,Jokowi ,PROPN, B-PER
Sentence,memutuskan ,VERB ,O
Sentence,batal ,NOUN ,O
Sentence,melantik ,VERB ,O
Sentence,Komjen , PROPN,O
Sentence,Budi , PROPN,B-PER
Sentence,Gunawan, PROPN, I-PER
Sentence,yang ,PRON ,O
Sentence,sudah ,ADV ,O
Sentence,mendapat ,VERB ,O
Sentence,persetujuan  ,NOUN,O
Sentence,DPR ,PROPN ,B-ORG
Sentence,untuk  ,ADP,O
Sentence,menjadi ,VERB ,O
Sentence,Kapolri ,PROPN,O
Sentence,. PUNCT O,,
Sentence,,,
Sentence,Tentara ,PROPN,O
Sentence,Jepang  ,PROPN,O
Sentence,mendatanginya  ,VERB,O
Sentence,", PUNCT O",,
Sentence,tapi ,CCONJ ,O
Sentence,Frans ,PROPN ,B-PER
Sentence,mengaku ,VERB ,O
Sentence,negatif ,ADJ ,O
Sentence,foto ,PROPN ,O
Sentence,sudah ,ADV ,O
Sentence,diambil ,VERB ,O
Sentence,Barisan ,PROPN,B-ORG
Sentence,Pelopor ,PROPN, I-ORG
Sentence,. PUNCT O,,
Sentence,,,
Sentence,Dia ,PRON ,O
Sentence,mengingatkan ,VERB ,O
Sentence,agar ,ADP ,O
Sentence,warga ,NOUN ,O
Sentence,tidak ,PART ,O
Sentence,mudah ,ADJ ,O
Sentence,terbius ,ADJ ,O
Sentence,oleh ,ADP ,O
Sentence,gaya ,NOUN ,O
Sentence,kepemimpinan ,NOUN ,O
Sentence,Jokowi ,PROPN ,B-PER
Sentence,yang ,PRON ,O
Sentence,gemar ,VERB ,O
Sentence,blusukan ,NOUN ,O
Sentence,. PUNCT O,,
Sentence,,,
Sentence,Angka ,PROPN ,O
Sentence,itu ,DET ,O
Sentence,jauh ,ADJ ,O
Sentence,di ,ADP ,O
Sentence,bawah,NOUN ,O
Sentence,negara-negara ,NOUN ,O
Sentence,lain ,ADJ ,O
Sentence,di ,ADP ,O
Sentence,Asia ,PROPN ,B-LOC
Sentence,Tenggara  ,PROPN ,I-LOC
Sentence,seperti ,ADP ,O
Sentence,Singapura ,PROPN ,B-LOC
Sentence,90,NUM,O
Sentence,persen  ,NUM,O
Sentence,", PUNCT O",,
Sentence,Malaysia ,PROPN , B-LOC
Sentence,(60-70 ,PROPN ,O
Sentence,persen)  ,PUNCT,O
Sentence,dan ,CCONJ ,O
Sentence,Filipina  ,PROPN ,B-LOC
Sentence,(30 ,PROPN ,O
Sentence,persen)  ,PUNCT,O
Sentence,. PUNCT O,,
Sentence,,,
Sentence,Meski  ,SCONJ,O
Sentence,demikian  ,ADV,O
Sentence,", PUNCT O",,O
Sentence,untuk ,ADP ,O
Sentence,harga ,NOUN ,O
Sentence,sayuran ,NOUN ,O
Sentence,lainnya ,ADJ ,O
Sentence,relatif ,ADV ,O
Sentence,stabil ,ADJ ,O
Sentence,. PUNCT O,,O
Sentence,,,
Sentence,Sama ,ADJ ,O
Sentence,seperti ,ADP ,O
Sentence,gejala ,NOUN ,O
Sentence,infeksi ,NOUN ,O
Sentence,virus ,NOUN ,O
Sentence,umumnya ,NOUN ,O
Sentence,", PUNCT O",,O
Sentence,pasien ,NOUN ,O
Sentence,yang ,PRON ,O
Sentence,mengalami  ,VERB,O
Sentence,infeksi ,NOUN ,O
Sentence,ini ,DET ,O
Sentence,mengalami ,VERB,O
Sentence,panas ,NOUN ,O
Sentence,tinggi ,ADJ ,O
Sentence,", PUNCT O",,O
Sentence,nyeri ,NOUN ,O
Sentence,otot ,NOUN ,O
Sentence,", PUNCT O",,O
Sentence,sakit ,NOUN ,O
Sentence,kepala ,NOUN ,O
Sentence,dan ,CCONJ ,O
Sentence,sakit ,NOUN ,O
Sentence,tenggorokan  ,NOUN,O
Sentence,. PUNCT O,,O
Sentence,,,
Sentence,Khususnya ,ADP ,O
Sentence,warga ,NOUN ,O
Sentence,kota ,NOUN ,O
Sentence,Jakarta ,PROPN, B-LOC
Sentence,dan ,CCONJ ,O
Sentence,sekitarnya ,NOUN,O
Sentence,,,O
Sentence,akibat ,NOUN,O
Sentence,putusan  ,NOUN,O
Sentence,MK ,PROPN,B-ORG
Sentence,mengenai  ,ADP,O
Sentence,sengketa ,NOUN,O
Sentence,pilpres ,NOUN,O
Sentence,2014,NUM,O
Sentence,. PUNCT O,,
Sentence,,,
Sentence,Setidaknya  ,ADV,O
Sentence,570,NUM,O
Sentence,roket ,NOUN,O
Sentence,ditembakkan  ,VERB,O
Sentence,ke ,ADP,O
Sentence,Israel ,PROPN,B-LOC
Sentence,sejak ,ADP,O
Sentence,gencatan  ,NOUN,O
Sentence,senjata ,NOUN,O
